Gene_Ensembl_ID,2020_Gene_Name,2024_Gene_Name,2020_Gene_Type,2024_Gene_Type
ENSG00000000003,TSPAN6,TSPAN6,protein_coding,protein_coding
ENSG00000000005,TNMD,TNMD,protein_coding,protein_coding
ENSG00000000419,DPM1,DPM1,protein_coding,protein_coding
ENSG00000000457,SCYL3,SCYL3,protein_coding,protein_coding
ENSG00000000460,C1orf112,C1orf112,protein_coding,protein_coding
ENSG00000000938,FGR,FGR,protein_coding,protein_coding
ENSG00000000971,CFH,CFH,protein_coding,protein_coding
ENSG00000001036,FUCA2,FUCA2,protein_coding,protein_coding
ENSG00000001084,GCLC,GCLC,protein_coding,protein_coding
ENSG00000001167,NFYA,NFYA,protein_coding,protein_coding
ENSG00000001460,STPG1,STPG1,protein_coding,protein_coding
ENSG00000001461,NIPAL3,NIPAL3,protein_coding,protein_coding
ENSG00000001497,LAS1L,LAS1L,protein_coding,protein_coding
ENSG00000001561,ENPP4,ENPP4,protein_coding,protein_coding
ENSG00000001617,SEMA3F,SEMA3F,protein_coding,protein_coding
ENSG00000001626,CFTR,CFTR,protein_coding,protein_coding
ENSG00000001629,ANKIB1,ANKIB1,protein_coding,protein_coding
ENSG00000001630,CYP51A1,CYP51A1,protein_coding,protein_coding
ENSG00000001631,KRIT1,KRIT1,protein_coding,protein_coding
ENSG00000002016,RAD52,RAD52,protein_coding,protein_coding
ENSG00000002330,BAD,BAD,protein_coding,protein_coding
ENSG00000002549,LAP3,LAP3,protein_coding,protein_coding
ENSG00000002586,CD99,CD99,protein_coding,protein_coding
ENSG00000002587,HS3ST1,HS3ST1,protein_coding,protein_coding
ENSG00000002726,AOC1,AOC1,protein_coding,protein_coding
ENSG00000002745,WNT16,WNT16,protein_coding,protein_coding
ENSG00000002746,HECW1,HECW1,protein_coding,protein_coding
ENSG00000002822,MAD1L1,MAD1L1,protein_coding,protein_coding
ENSG00000002834,LASP1,LASP1,protein_coding,protein_coding
ENSG00000002919,SNX11,SNX11,protein_coding,protein_coding
ENSG00000002933,TMEM176A,TMEM176A,protein_coding,protein_coding
ENSG00000003056,M6PR,M6PR,protein_coding,protein_coding
ENSG00000003096,KLHL13,KLHL13,protein_coding,protein_coding
ENSG00000003137,CYP26B1,CYP26B1,protein_coding,protein_coding
ENSG00000003147,ICA1,ICA1,protein_coding,protein_coding
ENSG00000003249,DBNDD1,DBNDD1,protein_coding,protein_coding
ENSG00000003393,ALS2,ALS2,protein_coding,protein_coding
ENSG00000003400,CASP10,CASP10,protein_coding,protein_coding
ENSG00000003402,CFLAR,CFLAR,protein_coding,protein_coding
ENSG00000003436,TFPI,TFPI,protein_coding,protein_coding
ENSG00000003509,NDUFAF7,NDUFAF7,protein_coding,protein_coding
ENSG00000003756,RBM5,RBM5,protein_coding,protein_coding
ENSG00000003987,MTMR7,MTMR7,protein_coding,protein_coding
ENSG00000003989,SLC7A2,SLC7A2,protein_coding,protein_coding
ENSG00000004059,ARF5,ARF5,protein_coding,protein_coding
ENSG00000004139,SARM1,SARM1,protein_coding,protein_coding
ENSG00000004142,POLDIP2,POLDIP2,protein_coding,protein_coding
ENSG00000004399,PLXND1,PLXND1,protein_coding,protein_coding
ENSG00000004455,AK2,AK2,protein_coding,protein_coding
ENSG00000004468,CD38,CD38,protein_coding,protein_coding
ENSG00000004478,FKBP4,FKBP4,protein_coding,protein_coding
ENSG00000004487,KDM1A,KDM1A,protein_coding,protein_coding
ENSG00000004534,RBM6,RBM6,protein_coding,protein_coding
ENSG00000004660,CAMKK1,CAMKK1,protein_coding,protein_coding
ENSG00000004700,RECQL,RECQL,protein_coding,protein_coding
ENSG00000004766,VPS50,VPS50,protein_coding,protein_coding
ENSG00000004776,HSPB6,HSPB6,protein_coding,protein_coding
ENSG00000004777,ARHGAP33,ARHGAP33,protein_coding,protein_coding
ENSG00000004779,NDUFAB1,NDUFAB1,protein_coding,protein_coding
ENSG00000004799,PDK4,PDK4,protein_coding,protein_coding
ENSG00000004809,SLC22A16,SLC22A16,protein_coding,protein_coding
ENSG00000004838,ZMYND10,ZMYND10,protein_coding,protein_coding
ENSG00000004846,ABCB5,ABCB5,protein_coding,protein_coding
ENSG00000004848,ARX,ARX,protein_coding,protein_coding
ENSG00000004864,SLC25A13,SLC25A13,protein_coding,protein_coding
ENSG00000004866,ST7,ST7,protein_coding,protein_coding
ENSG00000004897,CDC27,CDC27,protein_coding,protein_coding
ENSG00000004939,SLC4A1,SLC4A1,protein_coding,protein_coding
ENSG00000004948,CALCR,CALCR,protein_coding,protein_coding
ENSG00000004961,HCCS,HCCS,protein_coding,protein_coding
ENSG00000004975,DVL2,DVL2,protein_coding,protein_coding
ENSG00000005001,PRSS22,PRSS22,protein_coding,protein_coding
ENSG00000005007,UPF1,UPF1,protein_coding,protein_coding
ENSG00000005020,SKAP2,SKAP2,protein_coding,protein_coding
ENSG00000005022,SLC25A5,SLC25A5,protein_coding,protein_coding
ENSG00000005059,MCUB,MCUB,protein_coding,protein_coding
ENSG00000005073,HOXA11,HOXA11,protein_coding,protein_coding
ENSG00000005075,POLR2J,POLR2J,protein_coding,protein_coding
ENSG00000005100,DHX33,DHX33,protein_coding,protein_coding
