Gene Ensembl ID,2020 Gene Name,2024 Gene Name,2020 Gene Type,2024 Gene Type
ENSMUSG00000000001,Gnai3,Gnai3,protein_coding,protein_coding
ENSMUSG00000000003,Pbsn,Pbsn,protein_coding,protein_coding
ENSMUSG00000000028,Cdc45,Cdc45,protein_coding,protein_coding
ENSMUSG00000000031,H19,H19,lncRNA,lncRNA
ENSMUSG00000000037,Scml2,Scml2,protein_coding,protein_coding
ENSMUSG00000000049,Apoh,Apoh,protein_coding,protein_coding
ENSMUSG00000000056,Narf,Narf,protein_coding,protein_coding
ENSMUSG00000000058,Cav2,Cav2,protein_coding,protein_coding
ENSMUSG00000000078,Klf6,Klf6,protein_coding,protein_coding
ENSMUSG00000000085,Scmh1,Scmh1,protein_coding,protein_coding
ENSMUSG00000000088,Cox5a,Cox5a,protein_coding,protein_coding
ENSMUSG00000000093,Tbx2,Tbx2,protein_coding,protein_coding
ENSMUSG00000000094,Tbx4,Tbx4,protein_coding,protein_coding
ENSMUSG00000000103,Zfy2,Zfy2,protein_coding,protein_coding
ENSMUSG00000000120,Ngfr,Ngfr,protein_coding,protein_coding
ENSMUSG00000000125,Wnt3,Wnt3,protein_coding,protein_coding
ENSMUSG00000000126,Wnt9a,Wnt9a,protein_coding,protein_coding
ENSMUSG00000000127,Fer,Fer,protein_coding,protein_coding
ENSMUSG00000000131,Xpo6,Xpo6,protein_coding,protein_coding
ENSMUSG00000000134,Tfe3,Tfe3,protein_coding,protein_coding
ENSMUSG00000000142,Axin2,Axin2,protein_coding,protein_coding
ENSMUSG00000000148,Brat1,Brat1,protein_coding,protein_coding
ENSMUSG00000000149,Gna12,Gna12,protein_coding,protein_coding
ENSMUSG00000000154,Slc22a18,Slc22a18,protein_coding,protein_coding
ENSMUSG00000000157,Itgb2l,Itgb2l,protein_coding,protein_coding
ENSMUSG00000000159,Igsf5,Igsf5,protein_coding,protein_coding
ENSMUSG00000000167,Pih1d2,Pih1d2,protein_coding,protein_coding
ENSMUSG00000000168,Dlat,Dlat,protein_coding,protein_coding
ENSMUSG00000000171,Sdhd,Sdhd,protein_coding,protein_coding
ENSMUSG00000000182,Fgf23,Fgf23,protein_coding,protein_coding
ENSMUSG00000000183,Fgf6,Fgf6,protein_coding,protein_coding
