epoch,loss,lr,train_accuracy,train_balanced_accuracy,valid_accuracy,valid_balanced_accuracy
0,0.2735024003518951,0.02,0.9926431379637579,0.7787732444402483,0.9919066211159916,0.7748900375737123
1,0.11568877625244635,0.02,0.9955804600298251,0.9655385139154893,0.9950382300309094,0.9640530169750311
2,0.10578441212850588,0.02,0.9958832301504813,0.9837033966409111,0.9951602407678543,0.983045710780439
3,0.09845670916278053,0.02,0.9964074291653486,0.9842738077259536,0.9957296242069302,0.9894053782748156
4,0.09361847307257075,0.02,0.996434542907497,0.9867014600515941,0.9956076134699854,0.9826127930953712
5,0.09123380551183667,0.02,0.9965068462198925,0.9828942667513401,0.9954856027330405,0.9847648097754776
6,0.08994645308013316,0.02,0.9963938722942745,0.9866330807843943,0.9956076134699854,0.984991385801601
7,0.08896968111878743,0.02,0.996787021555425,0.9871053712373573,0.9956889539612819,0.9870170548996495
8,0.0884704389091995,0.02,0.9964255049934475,0.9863196019988757,0.9954856027330405,0.9871340896469931
9,0.08682190252605963,0.02,0.9966469338876587,0.9923875843213791,0.9956889539612819,0.9885570837436511
10,0.08525601981414692,0.019,0.9967327940711284,0.9872308758426679,0.9952009110135025,0.9760822585713961
11,0.0830907685751164,0.019,0.9962266708843599,0.9922386070336731,0.9954042622417439,0.986749300709214
12,0.08122614545195746,0.019,0.9969361471372408,0.9903824069171666,0.9952415812591509,0.9805673625471151
13,0.0824539853363401,0.019,0.9969271092231913,0.9869135327591155,0.9954856027330405,0.9852307862366594
