epoch,loss,lr,train_accuracy,train_balanced_accuracy,valid_accuracy,valid_balanced_accuracy
0,0.38347537960409106,0.02,0.9701384557012496,0.8528820484385136,0.9702873596481074,0.8526129817139985
1,0.23228070694689298,0.02,0.9712566157130822,0.8998930608029347,0.9710831693483042,0.89748200566135
2,0.2191524068645433,0.02,0.9712606349798394,0.9019497675599468,0.970931242041903,0.8981962287290679
3,0.2129172843802701,0.02,0.9727549983601391,0.9185315812280572,0.9727941602037273,0.9130285715408759
4,0.20913772516971357,0.02,0.9721826547739243,0.9174101771284799,0.971878979048501,0.9107020666234564
5,0.20664072164397254,0.02,0.9718731712336255,0.9145568375362794,0.9715787417525177,0.9096432969323921
6,0.2033583475200114,0.02,0.9738430138712935,0.9178334659573137,0.9729894953119573,0.9111181185222511
7,0.20176143474152686,0.02,0.9745990379483089,0.9204138628195879,0.9738865898830884,0.9145457019105548
8,0.19988347085490432,0.02,0.975512617282204,0.9216321492876054,0.9743025813172821,0.9130546754884837
9,0.1979485902892307,0.02,0.9727405289998134,0.9194851074635975,0.9719440907512444,0.9140320072685266
10,0.1972947789991313,0.019,0.9751862528215253,0.9243942958083057,0.9742230003472624,0.9145100784018216
11,0.1951985329242278,0.019,0.9727272654195149,0.9193411374734844,0.9713363815256395,0.9087174494524375
12,0.1957794541532948,0.019,0.975656507032109,0.9319043956795515,0.9747655978701238,0.9259343971975682
13,0.19460385107424533,0.019,0.9724410936264076,0.9120957524627401,0.9711301944669521,0.9017312882731876
14,0.1938581859702138,0.019,0.9747139889775629,0.9287502012219451,0.973445277231161,0.9192517598714678
15,0.19233368910370385,0.019,0.9748920424949036,0.9258139768888121,0.9736695508739437,0.916480070766824
16,0.19265064015321723,0.019,0.9759330325849994,0.9288668271062468,0.9747149554346568,0.919745801798886
17,0.19242130283763428,0.019,0.9747923646793268,0.9307559565592765,0.9735755006366478,0.9201583238943905
18,0.1921860996320769,0.019,0.9749237947022849,0.9247008002754187,0.9733584616275032,0.9121098731104322
19,0.1919785040803559,0.019,0.9744302287445097,0.914526547709984,0.9729062970251187,0.8990183253937629
20,0.1907609505747649,0.01805,0.976459556530183,0.9287484090440701,0.974866882741058,0.9188661515355898
21,0.19019265599315577,0.01805,0.9709893344737333,0.9172632940036973,0.9693902650769766,0.9068625074735605
22,0.1902089350085088,0.01805,0.9759257979048366,0.9263909834408823,0.9744111008218543,0.9168515818310451
