epoch,loss,lr,train_accuracy,train_balanced_accuracy,valid_accuracy,valid_balanced_accuracy
0,0.17433641836243233,0.02,0.9820582832745868,0.9286437027779217,0.9816284693019344,0.9280464202304607
1,0.11008724313158025,0.02,0.9848550510905847,0.9381303895228308,0.9840780067283431,0.9333179255981366
2,0.1060250790468885,0.02,0.986867427306523,0.9503919035186464,0.9859020185029437,0.9417518058881382
3,0.1022724545734565,0.02,0.9864118610756619,0.9424579354689295,0.9855656013456686,0.9403403554611138
4,0.09987714548448202,0.02,0.9869582485230601,0.9500398753715377,0.9859598402018503,0.9446177122389712
5,0.0983435573662368,0.02,0.9867234566963856,0.9538439666775802,0.9856523338940286,0.950041414902403
6,0.09746946820445608,0.02,0.9849835441300583,0.9427412665108177,0.9840858915054668,0.938935595643485
7,0.09673438431097987,0.02,0.9860342667573905,0.9389082465429146,0.9849164213624895,0.9380182277451194
8,0.09641729908188768,0.02,0.9878033822872345,0.9481003483157455,0.9866826114381833,0.9450026434033663
9,0.09467026163070831,0.02,0.9874234517318818,0.9479140350271431,0.9859361858704794,0.9373345008011006
10,0.0939947335031686,0.019,0.9870955024515888,0.9477192355682496,0.9859650967199327,0.9428133801656409
11,0.0933896141309452,0.019,0.9860649298690831,0.9408038821727602,0.9847429562657696,0.9354530687132361
12,0.09258273427494976,0.019,0.986703306651559,0.9511479722817076,0.9853500841042893,0.9450260710593685
13,0.09262949052939642,0.019,0.9871477757562838,0.9454942301920695,0.9855261774600506,0.9349802394404955
14,0.0919360515358523,0.019,0.9871109800222526,0.9556057313889186,0.9858179142136249,0.9493098663900178
15,0.09186497401963017,0.019,0.9862807397694717,0.945402181715486,0.9850530908326325,0.9435836076192333
