epoch,loss,lr,train_accuracy,train_balanced_accuracy,valid_accuracy,valid_balanced_accuracy
0,0.49184523610507713,0.02,0.9704816653184697,0.8769047058711185,0.969852529400784,0.8774842332447486
1,0.23702794698133964,0.02,0.9733368115220585,0.9223219472167459,0.9718197613474822,0.9220882055823103
2,0.2196936717415168,0.02,0.9749299176881852,0.9434942791509994,0.9733633922545627,0.9406101343915316
3,0.21129481336162761,0.02,0.9759725765560507,0.9424734257208385,0.9738659697591936,0.94043197275547
4,0.2051601500487795,0.02,0.9768237754940863,0.9439246253119922,0.9741746959406097,0.9353433834590248
5,0.2035029538560149,0.02,0.9752976803034001,0.9394269649350873,0.9725449088898781,0.9327582839749817
6,0.2000195095011221,0.02,0.97486450221216,0.9315321634180989,0.972150026564811,0.9245832585389346
7,0.19744805677556507,0.02,0.9757180943993184,0.9413667497029046,0.9728679944285694,0.9328932841181433
8,0.19619169597532224,0.02,0.9774276720227582,0.9504558843016926,0.9748352263752674,0.9419449295794506
9,0.19382554786949382,0.02,0.9767727195127983,0.9442840278279955,0.9742177740124351,0.9381215018192735
10,0.1916805048978406,0.019,0.9765732820858921,0.940509461140329,0.9736792981146164,0.935373468880923
11,0.19295308191110103,0.019,0.9769633816929206,0.9510822969172646,0.9740741804396835,0.9404281265461054
12,0.18948192574278588,0.019,0.9766155628203962,0.9477985004094811,0.9736075013282406,0.9352468389023447
13,0.18927412141674482,0.019,0.9743419761536658,0.9468673121011469,0.9709940983041598,0.9400423648952989
14,0.1880223432348834,0.019,0.977209088602869,0.9488847470912953,0.9734208296836634,0.9351672426657079
15,0.18662872338314468,0.019,0.9751580741045658,0.9285448940292711,0.9722649014230123,0.9165433818915448
16,0.18560173603541713,0.019,0.9764113388952442,0.9485083244457577,0.9727387602130928,0.9373619268536457
17,0.18481684661184247,0.019,0.9746187953022115,0.9355064642114201,0.9709940983041598,0.924751515151989
18,0.18514928026916153,0.019,0.9767846857584126,0.9407157860161464,0.9726956821412673,0.9313823150746222
