epoch,loss,lr,train_accuracy,train_balanced_accuracy,valid_accuracy,valid_balanced_accuracy
0,0.3225778790299224,0.02,0.9889297631244145,0.9477298871405427,0.9883349591230026,0.932563105218623
1,0.16474348778723055,0.02,0.9873775170772872,0.9529057282065972,0.9870923913043479,0.9445710788966861
2,0.1562903030287651,0.02,0.9889194406236855,0.9653171313082003,0.987748513563731,0.948157297980307
3,0.15108032529513382,0.02,0.9888136349912129,0.9646463826573473,0.9877020624303233,0.9477846856824903
4,0.1520677471050511,0.02,0.9886471846669574,0.9652953709136352,0.9873536789297659,0.9499531162323966
5,0.14833998832871365,0.02,0.9892491154907188,0.9630485311752388,0.9881201226309921,0.9478617093655748
6,0.1454540331448826,0.02,0.9892329865833296,0.9673014444105335,0.9878588350055741,0.9500932061090056
7,0.14932621407406366,0.02,0.9882317040126141,0.9627436923987263,0.9869820698625047,0.9459617927972648
8,0.14428391327302903,0.02,0.9888884731214984,0.9622110361822436,0.9878181902638425,0.9457152676551417
9,0.14098666674363863,0.02,0.9883065421428996,0.9547137631873746,0.9871620680044593,0.9397561515546821
10,0.1389306058525724,0.019,0.9890787942286898,0.9594587699855037,0.9878007710888146,0.9418412619018685
11,0.13726803799352022,0.019,0.9890562137583451,0.9638683068921305,0.987742707172055,0.9464310115512204
12,0.13688670288002666,0.019,0.9889723434399218,0.9675709373655128,0.9878181902638424,0.9483490255008823
13,0.13712876399476398,0.019,0.989251696115901,0.967155489863142,0.9875278706800446,0.9463060525660052
14,0.13630679078281865,0.019,0.9887768610823657,0.9646194849876748,0.9873885172798216,0.9469649380903233
15,0.13502142350706797,0.019,0.9890426654761383,0.9685653835850765,0.9873014214046822,0.9456658483167528
16,0.1344155577065612,0.019,0.989065245946483,0.960932122661785,0.98734787253809,0.9402282955970221
