epoch,loss,lr,train_mae,train_rmse,valid_mae,valid_rmse
0,0.7629852457479996,0.02,0.33166346,0.46048614,0.33101395,0.45961934
1,0.14344236819130002,0.02,0.29018483,0.4031309,0.2911631,0.40424335
2,0.11051450353680235,0.02,0.27461663,0.38561925,0.2761288,0.3873501
3,0.10539792071689259,0.02,0.26629522,0.37528682,0.26795095,0.37749717
4,0.10273103709473755,0.02,0.26078865,0.36872897,0.26215795,0.37053257
5,0.10061994194984436,0.02,0.25822654,0.36243442,0.25932184,0.36390916
6,0.0976460932782202,0.02,0.25362384,0.3554076,0.25460565,0.356741
7,0.09340462653022824,0.02,0.24856508,0.344777,0.24973202,0.34613243
8,0.08957525816830722,0.02,0.24533862,0.34021068,0.2464429,0.34155956
9,0.08811087883783109,0.02,0.24367855,0.3365092,0.2447296,0.3377472
10,0.08652990672624472,0.019,0.24254873,0.3348399,0.24356109,0.33611828
11,0.08609563947627039,0.019,0.24134642,0.33457673,0.2425473,0.33605975
12,0.08538405710097516,0.019,0.24154308,0.33273044,0.2428213,0.3343056
13,0.08466567234559493,0.019,0.23947649,0.33203554,0.2406454,0.3335257
14,0.08415794056473358,0.019,0.239785,0.33063483,0.24095753,0.3321215
15,0.08364247462966225,0.019,0.23989674,0.3309527,0.24083179,0.3320333
16,0.08305803618647835,0.019,0.23852588,0.32989833,0.2396467,0.33127463
17,0.08287631381641734,0.019,0.2390705,0.32832077,0.24014035,0.32969517
18,0.08261872376456407,0.019,0.23767489,0.32763407,0.23875155,0.32911348
19,0.08246538268797325,0.019,0.23745616,0.32747024,0.23871528,0.32920945
20,0.08163676749576222,0.01805,0.23731123,0.32689223,0.2384751,0.3284884
21,0.08129138047948029,0.01805,0.23667237,0.3259787,0.23784097,0.32760483
22,0.08119429399569829,0.01805,0.23625776,0.32502368,0.23730299,0.32663512
23,0.08098534720413612,0.01805,0.23650901,0.32533926,0.23766477,0.32713214
24,0.08106160389654565,0.01805,0.23589478,0.32474273,0.2371093,0.3265413
25,0.08075439952539676,0.01805,0.235348,0.32370195,0.23657028,0.32547146
26,0.08028136419527457,0.01805,0.23495053,0.32370278,0.23631348,0.32579082
27,0.08005902487220186,0.01805,0.23510765,0.3236114,0.23643047,0.3256535
28,0.07957842607389796,0.01805,0.23480126,0.32303306,0.23597813,0.32481745
29,0.07957886227152565,0.01805,0.23428094,0.3222369,0.23544937,0.32416895
30,0.0793595580440579,0.0171475,0.23431598,0.32275677,0.23551218,0.32466286
31,0.07946777953342958,0.0171475,0.23451279,0.32154176,0.23536952,0.3231074
32,0.0791038279280518,0.0171475,0.23390849,0.32179406,0.23512618,0.32382008
33,0.07877348318244472,0.0171475,0.23346998,0.32157716,0.23470023,0.3236872
34,0.07869221608747136,0.0171475,0.23448184,0.32238296,0.2354972,0.32402608
35,0.0786805884404616,0.0171475,0.23354585,0.32073545,0.23467085,0.3227023
36,0.07823418938752377,0.0171475,0.23323864,0.3209973,0.23451544,0.32310477
