epoch,loss,lr,train_mse,train_mae,train_rmse,valid_mse,valid_mae,valid_rmse
0,0.692887187788361,0.029589081102192678,0.24046017,0.3321226,0.49036738,0.23719232,0.3313384,0.48702395
1,0.14273735253434428,0.029589081102192678,0.2001761,0.30463672,0.44741043,0.19610828,0.3029455,0.44284114
2,0.12137784377524727,0.029589081102192678,0.17891797,0.287442,0.42298695,0.17555921,0.2863465,0.41899785
3,0.11262652317160055,0.029589081102192678,0.164773,0.27674234,0.4059224,0.16265886,0.27634737,0.40330988
4,0.10745873223794133,0.029589081102192678,0.15151359,0.26524112,0.38924748,0.14931315,0.2647265,0.3864106
5,0.10285244803679616,0.029589081102192678,0.14634007,0.26136568,0.38254422,0.14441475,0.26087606,0.3800194
6,0.0998920445379458,0.029589081102192678,0.13836887,0.25235447,0.37197968,0.1364924,0.2517052,0.36944878
7,0.09811571789415259,0.029589081102192678,0.13581674,0.25353244,0.36853322,0.13380022,0.25273916,0.36578712
8,0.09641736824261515,0.029589081102192678,0.12922385,0.24501213,0.3594772,0.12742072,0.24432717,0.3569604
9,0.09475050043118627,0.029589081102192678,0.13080977,0.24594894,0.36167634,0.12855186,0.24494822,0.35854128
10,0.0929937390120406,0.028109627047083044,0.12453669,0.24142621,0.35289755,0.12260747,0.24064459,0.3501535
11,0.092314397426028,0.028109627047083044,0.12254073,0.23911609,0.35005817,0.120442,0.2379711,0.34704754
12,0.09035437161985196,0.028109627047083044,0.11936148,0.23734921,0.34548733,0.11716799,0.23592316,0.3422981
13,0.08950795115608919,0.028109627047083044,0.11511166,0.2321546,0.33928108,0.11277862,0.23073734,0.3358253
14,0.08878059097026524,0.028109627047083044,0.11440165,0.23050743,0.33823314,0.11247971,0.22960003,0.33537996
15,0.08826918860799388,0.028109627047083044,0.11498293,0.2322811,0.33909133,0.11354927,0.23145798,0.33697072
16,0.0873200187557622,0.028109627047083044,0.11167527,0.22776099,0.3341785,0.10995419,0.2269808,0.33159342
17,0.0862748226837108,0.028109627047083044,0.1084673,0.22501971,0.32934374,0.10679723,0.22397603,0.32679847
